"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
1947,1,0,0,1.1,0.199821107841171,45.8,4.1,0,1,0,1,0.10257552216175,4.09306233480539,0.630678664634289,32.0142658975308,3.0041,39.8446824191323,11.4319380364613
1947,2,0,0,-2.76,0.0513076116398816,45.8,13.7,0,1,0,1,0.0982822052476241,4.08781556919511,0.630333649151301,32.0132096665463,3.0041,39.8337410901403,11.4428793654532
1947,3,0,0,3.47,0.361743552447679,121,39.3,0,1,0,1,0.0727035362798487,4.0510137073287,0.62750468555059,32.0051701894493,3.0041,39.7604921186084,11.5161283369851
1947,4,0,0,8.41,0.882904331032224,50,77.2,-7.90000000000001,1,1,0.6,0.0467557788532252,3.99771753872984,0.622274987274664,31.9919388050639,3.0041,39.6627871099216,11.6138333456719
1947,5,0,0,13.43,1.63061191965067,31,113.6,-44.9444,0.2,1,0.6,0.0397208670488844,3.97820911602271,0.620060497813814,31.9867270824704,3.0041,39.6288175633558,11.6478028922377
1947,6,0,0,15.53,1.99171023655571,39.5,125.5,-44.9444,0.2,1,0.6,0.032547665456256,3.95450967071594,0.617232195681179,31.9801735824304,3.0041,39.5885631142838,11.6880573413097
1947,7,0,0,17.4,2.33051827405124,37.3,140.3,-44.9444,0.2,1,0.6,0.0257814132826701,3.92695792655484,0.613786597665978,31.97228589463,3.0041,39.5429118321335,11.73370862346
1947,8,1.0614,0,18.27,2.49259155461673,3.4,112.6,-44.9444,0.2,1,0.6,0.64649346547459,4.33270253898655,0.609976794756639,31.9636352986471,3.0041,40.5569080978649,11.7811123577287
1947,9,0,0,15.12,1.91944471951016,28.9,70,-44.9444,0.2,0,1,0.469494055566476,4.29131952260616,0.622868138653029,31.9732846624566,3.0041,40.3610663792823,11.9769540763113
1947,10,0,0,9.91,1.08624679760332,13.4,32.9,-44.9444,0.2,0,1,0.391746326654992,4.268075541051,0.627694488281984,31.9760603409298,3.0041,40.2676766969178,12.0703437586757
1947,11,0,0,6.93,0.701761458091847,48.1,9.5,-3.96939999999999,1,0,1,0.218287562886784,4.19384928609073,0.635398915078041,31.9756258390274,3.0041,40.027261603083,12.3107588525105
1947,12,0,0,4.96,0.493282614240118,72.2,7.2,0,1,0,1,0.144711838466484,4.14244805569034,0.635537968016695,31.9694762160448,3.0041,39.8962740782183,12.4417463773752
1948,1,0,0,5.51,0.547593713962532,112,11.8,0,1,0,1,0.0916902775576753,4.08612499932377,0.632717980087349,31.9591367357576,3.0041,39.7737699927265,12.5642504628671
1948,2,0,0,4.26,0.42862894523752,33.9,19.7,0,1,0,1,0.0641500943280909,4.04257297557848,0.629048590447431,31.9493117079582,3.0041,39.6891833683122,12.6488370872813
1948,3,0,0,7.97,0.826952744585289,21.8,48.4,-14.5,1,0,1,0.0322042449412875,3.95985554387948,0.620097343849382,31.9276338269539,3.0041,39.5438909596241,12.7941294959694
1948,4,0,0,8.77,0.929959322508925,40.5,68.5,-24.9890864,0.838848920863309,0,1,0.0168107539197075,3.88337709907971,0.610297492310975,31.9052175503343,3.0041,39.4198028956447,12.9182175599489
1948,5,0,0,10.97,1.24092704075842,99.7,100,-0.289086399999995,1,1,0.6,0.00903906080281221,3.81176088083932,0.600427210705197,31.8828090947058,3.0041,39.3081362470532,13.0298842085404
1948,6,0,0,13.28,1.6057416737275,75.2,123.5,-17.7140864,1,1,0.6,0.00404986861012928,3.72104718759362,0.587561794200432,31.852929019012,3.0041,39.1696878694162,13.1683325861774
1948,7,0,0,15.59,2.00235147605179,68.1,131.3,-44.9444,0.2,1,0.6,0.00331497237756533,3.69876165682002,0.584279403791438,31.8453775703416,3.0041,39.1358336033307,13.2021868522629
1948,8,0,0,15.04,1.90543771073123,129.1,107.3,0,1,1,0.6,0.0012785548743067,3.59454173663302,0.569304999327103,31.8089779247399,3.0041,38.9782032155743,13.3598172400192
1948,9,1.4839,0,14.18,1.75690050025984,64.3,64.1,0,1,1,0.6,0.876275407513322,4.10920601643996,0.55579720995928,31.7749303165045,3.0041,40.3203089504171,13.5016115051764
1948,10,0,0,9.6,1.04268066746432,68.8,30.5,0,1,0,1,0.367520785943456,4.0034753036086,0.596215590431158,31.8035715337913,3.0041,39.7748832137745,14.047037241819
1948,11,0,0,6.52,0.655219996891974,35.9,7.5,0,1,0,1,0.212887362943534,3.93843056378482,0.603185284517736,31.8018152373449,3.0041,39.5604184485909,14.2615020070026
1948,12,0,0,5.37,0.533478324308255,61.1,2.2,0,1,0,1,0.136482710433305,3.88625260141953,0.603504206584298,31.794400585413,3.0041,39.4247401038501,14.3971803517434
1949,1,0,0,4.98,0.495203697069868,31.1,8.2,0,1,1,0.6,0.106548053991841,3.85749225056052,0.602303954678065,31.7887341825491,3.0041,39.3591784417795,14.462742013814
1949,2,0,0,5.21,0.51758906308987,36.7,16.4,0,1,1,0.6,0.0822531398208361,3.82765927258999,0.600335000681883,31.781947771065,3.0041,39.2962951841577,14.5256252714358
1949,3,0,0,4.42,0.442962422671245,42.7,43.7,0,1,1,0.6,0.0659119889717017,3.80231094016991,0.598193478879003,31.7755855271388,3.0041,39.2461019351594,14.5758185204341
1949,4,0,0,9.9,1.08482932260872,49.4,75.5,-7.225,1,1,0.6,0.0383174608969908,3.74093875596811,0.591877462521432,31.7584133009213,3.0041,39.1336469803078,14.6882734752857
1949,5,0,0,10.54,1.17713902533253,59.7,104.9,-26.2,0.800082762529485,1,0.6,0.0239268526183695,3.6884615778644,0.585471056232784,31.7422589021832,3.0041,39.0442183888987,14.7777020666948
1949,6,0,0,14.76,1.85666148262925,18.7,120.6,-44.9444,0.2,1,0.6,0.019872467290442,3.66797401491097,0.582768831758791,31.7356726502388,3.0041,39.010387964199,14.8115324913945
1949,7,0,0,17.4,2.33051827405124,30,138.9,-44.9444,0.2,1,0.6,0.0157412301306161,3.64241861359364,0.579312118785092,31.7272683260275,3.0041,38.9688402885369,14.8530801670566
1949,8,1.9742,0,17.01,2.25871469961722,53.8,114.1,-44.9444,0.2,1,0.6,1.17766031762561,4.42691885517582,0.57590462137404,31.7190017319841,3.0041,40.9035855261596,14.892534929434
1949,9,0,0,16.84,2.22759263692472,22.8,72.9,-44.9444,0.2,0,1,0.812421689971383,4.37788556831531,0.607998805612399,31.7494985002812,3.0041,40.5519045641802,15.2442158914133
1949,10,0,0,11.56,1.3306612627828,138.6,31.3,0,1,0,1,0.268039710310004,4.23464428000091,0.646699984319717,31.7749654813444,3.0041,39.928449455975,15.8676709996185
1949,11,0,0,6.01,0.599610879192411,76.8,10.4,0,1,1,0.6,0.198607338629128,4.19672796666167,0.648200389868775,31.7725540874424,3.0041,39.820189782602,15.9759306729915
1949,12,0,0,5.62,0.558822849992643,37.3,5.5,0,1,1,0.6,0.150192571052954,4.16169658207261,0.647875311339693,31.7683260526568,3.0041,39.7321905171221,16.0639299384714
1950,1,0,0,3.7,0.380548183568056,30.4,8.8,0,1,1,0.6,0.124169080093386,4.13800836408303,0.646911360974652,31.7645987051188,3.0041,39.6777875102698,16.1183329453237
1950,2,0,0,5.53,0.549626325207997,100.4,22.6,0,1,1,0.6,0.0943329950901884,4.1040332337565,0.644749537261352,31.7582569528713,3.0041,39.6054727189793,16.1906477366142
1950,3,0,0,7.18,0.730930656219408,24.3,45.2,-9.6,1,1,0.6,0.0654551840342276,4.05928254882552,0.64081696293486,31.7484739121211,3.0041,39.5181286079157,16.2779918476778
1950,4,0.262,0,7.58,0.778826703210694,51.9,74.1,-13.275,1,1,0.6,0.198965839196918,4.11951336015247,0.63568819860782,31.7368240477699,3.0041,39.6950914457272,16.3630290098664
1950,5,0.262,0,10.67,1.19627696327041,124.1,103.2,0,1,1,0.6,0.264021175932704,4.15362850263371,0.63404830496917,31.7258412377498,3.0041,39.7816392212854,16.5384812343081
1950,6,0.262,0,16.4,2.14756497125389,42.9,121.6,-44.9444,0.2,1,0.6,0.367618829088246,4.23433101081914,0.635340029258215,31.724209364199,3.0041,39.9655992333646,16.6165212222289
